meta_data_team_id,meta_data_team_name,league_id,season_id,PC1,PC2,PC3,Elo
18bb7c10,Arsenal,9,2018-2019,7.587263916768079,0.6327467651022052,-0.7006103902546389,1870.87512207
4ba7cbea,Bournemouth,9,2018-2019,0.9906377579130448,1.4471975339456742,-0.27826326106102844,1694.88586426
d07537b9,Brighton,9,2018-2019,-5.76121646521388,6.078087598387705,2.7591472555624366,1620.25097656
943e8050,Burnley,9,2018-2019,-6.009933332077764,4.915234505473371,6.29597468791422,1685.65490723
75fae011,Cardiff City,9,2018-2019,-9.482114531095688,6.398996727192155,6.123979739439425,1696.0341238207259
cff3d9bb,Chelsea,9,2018-2019,12.965323223260949,-2.261999154013579,1.1424111717645997,1886.99499512
47c64c55,Crystal Palace,9,2018-2019,-0.039046044814218396,4.1447407085628685,3.2627308340616024,1746.52441406
d3fd31cc,Everton,9,2018-2019,2.6002449009075903,3.521056105936102,5.419274928923937,1773.65405273
fd962109,Fulham,9,2018-2019,-1.9479090075383594,6.746819584050701,-0.1716178835205723,1589.33032227
f5922ca5,Huddersfield,9,2018-2019,-6.124961707700677,8.175942313297313,1.6540969236346996,1525.95703125
a2d435b3,Leicester City,9,2018-2019,2.9151767041666248,3.0388164971635256,3.3220764017883875,1742.6628418
822bd0ba,Liverpool,9,2018-2019,14.585883415911486,-4.777773756481144,4.403095149181032,2043.74633789
b8fd03ef,Manchester City,9,2018-2019,20.357721294390174,-7.573012922211688,3.3146169840938264,2041.26416016
19538871,Manchester Utd,9,2018-2019,5.754470625845821,1.2945819806830647,1.2216900043199428,1842.21777344
b2b47a98,Newcastle Utd,9,2018-2019,-4.30552395174046,4.4708169838042044,4.321808918754043,1719.57849121
33c895d4,Southampton,9,2018-2019,-2.5486917628269277,4.66524310981215,3.3423870022311957,1677.77783203
361ca564,Tottenham,9,2018-2019,8.251379374374396,0.14593759109003307,0.5839653898436615,1901.27246094
2abfe087,Watford,9,2018-2019,-1.0433073872161167,4.119173632424053,3.965912362028501,1689.30114746
7c21e445,West Ham,9,2018-2019,0.8127125503628705,4.660694436231085,1.505497994769851,1733.4362793
8cec06e1,Wolves,9,2018-2019,0.7526674440479971,3.4792108933971426,3.45869671435465,1723.51721191
18bb7c10,Arsenal,9,2019-2020,3.9204876920858025,1.3700523711712058,-3.0328201763913123,1802.5333252
8602292d,Aston Villa,9,2019-2020,-2.497370445076918,4.112140773966198,1.128221119267988,1602.37646484
4ba7cbea,Bournemouth,9,2019-2020,-3.860077791251325,4.180821332433661,-0.095538960874273,1638.36486816
d07537b9,Brighton,9,2019-2020,1.280224309287934,3.1273237101784703,-0.3752796951204775,1640.24560547
943e8050,Burnley,9,2019-2020,-5.478341037010126,2.8527255452711255,6.064260904719163,1711.14550781
cff3d9bb,Chelsea,9,2019-2020,11.985758507684444,-0.4918112334562495,0.9867095282070008,1825.25744629
47c64c55,Crystal Palace,9,2019-2020,-4.156091151586746,5.791118539225211,2.4414100032979706,1726.61730957
d3fd31cc,Everton,9,2019-2020,0.6612734430901728,4.203774378127982,2.630290399106584,1737.55810547
a2d435b3,Leicester City,9,2019-2020,7.697972326868764,1.0588114056393614,0.9472921957261585,1803.66064453
822bd0ba,Liverpool,9,2019-2020,14.718853041569995,-5.1218849775899,3.6035267173046126,2026.43139648
b8fd03ef,Manchester City,9,2019-2020,22.00043512475298,-7.328295337849755,2.1016451102228393,1975.79089355
19538871,Manchester Utd,9,2019-2020,7.586133256340505,-1.9752910928729648,-0.36698935351322043,1851.97485352
b2b47a98,Newcastle Utd,9,2019-2020,-6.045170235228359,4.118194941137758,1.681684271325165,1693.29589844
1c781004,Norwich City,9,2019-2020,-2.861647764753223,7.002700635654721,-5.177446409619928,1696.0341238207259
1df6b87e,Sheffield Utd,9,2019-2020,-3.706408535919844,3.359633987762195,7.487594196112291,1706.29711914
33c895d4,Southampton,9,2019-2020,0.8563243818574326,4.254479882300032,4.14000494402985,1674.08850098
361ca564,Tottenham,9,2019-2020,3.17680848059429,2.672992336893081,-1.0709638495640388,1798.41308594
2abfe087,Watford,9,2019-2020,-4.672017918887111,6.463383471899553,3.207895158489771,1682.66589355
7c21e445,West Ham,9,2019-2020,-0.8057073833388875,4.068288535125066,2.904427173017965,1679.32177734
8cec06e1,Wolves,9,2019-2020,1.8966692491721733,1.5281540609409732,4.167325542933144,1784.2911377
18bb7c10,Arsenal,9,2020-2021,3.9901915919092237,-2.4374854031658844,-1.1400448108996322,1866.67456055
8602292d,Aston Villa,9,2020-2021,1.7803062743697418,1.5072191202763396,2.4471691218140044,1747.11230469
d07537b9,Brighton,9,2020-2021,1.1991965056861271,1.762535188055415,0.09620495012834308,1720.88342285
943e8050,Burnley,9,2020-2021,-6.600262435897651,3.429053790842794,5.298501236515956,1709.37329102
cff3d9bb,Chelsea,9,2020-2021,9.529449958537498,-1.711095934777123,-0.4345083364583568,1923.20202637
47c64c55,Crystal Palace,9,2020-2021,-5.165856838546511,3.170219206882919,1.4938437711155248,1693.30944824
d3fd31cc,Everton,9,2020-2021,-0.2847915732484181,2.2323667032211074,0.48392718957739356,1771.19372559
fd962109,Fulham,9,2020-2021,-1.2302076017240884,4.339427465196993,-1.4497315086980946,1627.00708008
5bfb9659,Leeds United,9,2020-2021,6.032061496435097,2.0386312861420044,-2.593243278894814,1783.74121094
a2d435b3,Leicester City,9,2020-2021,4.73766366566216,-0.5247399187807615,-0.3697843175917058,1801.89501953
822bd0ba,Liverpool,9,2020-2021,12.260950550965214,-2.133571081593359,0.5719784275907566,1940.19763184
