meta_data_team_id,meta_data_team_name,season_id,stats_stats_avg_gls,stats_stats_avg_ast,stats_stats_avg_non_pen_gls,stats_stats_avg_xg,stats_stats_avg_non_pen_xg,stats_stats_avg_xag,stats_stats_avg_pk_made,stats_stats_avg_pk_att,stats_stats_avg_yellow_cards,stats_stats_avg_red_cards,stats_stats_avg_carries_prog,stats_stats_avg_passes_prog,pca_features_pca_1,pca_features_pca_2,pca_features_pca_3,pca_features_pca_4,Elo
18bb7c10,Arsenal,2018-2019,0.9775480521227299,1.2896312438553552,1.103442428539921,0.6829245225274378,0.8150394359431191,1.112613017732022,-0.4366235565657423,-0.5011054401573697,-0.13526041413947376,-0.7187664507835319,1.2979309507761827,1.3971348129496572,0.9473182988260805,0.33552762842662465,-0.43475807070051586,0.5461337742209273,1870.87512207
4ba7cbea,Bournemouth,2018-2019,0.18611020941108192,0.6056336948424673,0.08920634198821564,0.15786397330225163,0.004013393837325004,0.31515759468634613,0.6521607366150569,0.7515195521551852,-0.8438507623264427,-1.1296288588598147,0.4759295189993662,-0.00889409360021287,0.041883830579478906,0.3818149856067198,-0.3306544011972222,-0.27389288575205173,1694.88586426
d07537b9,Brighton,2018-2019,-0.9445152801769876,-0.8383611308514066,-0.9846906908312367,-1.2320021864114765,-1.2787318768402054,-1.1283376647507604,-0.07369545883880936,-0.1879491920792309,-0.7426235697283049,0.10295836536903384,-1.187042608364504,-0.9216919030915868,-0.7671745058981306,1.1702834430182913,0.7097878928460891,0.2940545211166032,1620.25097656
943e8050,Burnley,2018-2019,-0.4922650843417598,-0.23036330950661765,-0.3284202818860152,-0.5293476278895364,-0.27736298811774573,-0.45201471102847945,-1.1624797520196084,-1.4405741843917856,-0.08464681784040529,-1.1296288588598147,-1.528489356948721,-1.2996222242143307,-0.9374219477324156,1.084141703597527,1.6428344830117647,-1.2346366568196485,1685.65490723
75fae011,Cardiff City,2018-2019,-1.0575778291357942,-1.142360041523801,-0.9846906908312367,-0.6837772011910614,-0.5752909219525266,-0.8154121189986602,-0.7995516542926753,-0.8142616882355083,-0.540169184532028,-1.1296288588598147,-1.4462892137710386,-1.6647413480108801,-1.3986929093572755,1.284935221316467,1.6563519061531424,-1.2946007306355547,1696.0341238207259
cff3d9bb,Chelsea,2018-2019,0.5252978562875028,1.2896312438553552,0.5664939121301945,0.5671023425512939,0.6991785727851489,0.9309143137469309,-0.07369545883880936,-0.5011054401573697,-1.4006003216162042,-1.5404912669360975,2.4993176587576857,2.2971214251148355,1.8922674123456198,-0.3333171835323926,0.7034149408052061,0.16458101125271363,1886.99499512
47c64c55,Crystal Palace,2018-2019,-0.20960871194474257,-0.15436358183851878,-0.5074031206892579,-0.28226031060709583,-0.5752909219525266,-0.6236190425699538,1.740945029795857,1.377832048311464,-0.8944643586255125,-0.7187664507835319,0.684591420911943,0.0647702910254071,-0.026831170470179164,0.8978559571487379,0.8482010425567597,-1.1235122994328628,1746.52441406
d3fd31cc,Everton,2018-2019,0.07304766045227465,-0.07836385417042023,0.26818918079145776,-0.12010925864049345,-0.037365485861949266,-0.19965539993807577,-1.1624797520196084,-0.5011054401573697,-0.9956915512236507,0.10295836536903384,0.21668291359282996,0.45871460880589454,0.35464830989343754,0.8221505083619242,1.821233316322392,-0.7977173076581848,1773.65405273
fd962109,Fulham,2018-2019,-1.0575778291357942,-0.8383611308514066,-0.9250297445634894,-0.7687134665069003,-0.5918424738322368,-0.5731471803518731,-1.1624797520196084,-1.127417936313647,-0.2364876067376133,-0.7187664507835319,-0.21961015404255674,0.15765147164031798,-0.20812281103830474,1.2625282871084882,-0.200342525724145,0.5453647431859037,1589.33032227
f5922ca5,Huddersfield,2018-2019,-1.7359531228886356,-1.6743581352004917,-1.5813001535087103,-1.7338982996414332,-1.5021778272162913,-1.5926787971571028,-1.5254078497465413,-1.753730432469924,-0.9956915512236507,0.10295836536903384,-0.3903335283346652,-0.6078175685998155,-0.6880337792509034,1.451629791391449,0.6333078473851207,-0.47368198031304987,1525.95703125
a2d435b3,Leicester City,2018-2019,-0.20960871194474257,-0.07836385417042023,-0.20909838935052108,0.08837066531656536,0.09504692917573106,0.1940251253629534,-0.07369545883880936,0.12520705599890788,-0.6920099734292355,0.5138207734453166,0.5644527501137927,0.31779143821775213,0.40562033172401857,0.6552360480562476,1.1965285007588646,0.1712356652741014,1742.6628418
822bd0ba,Liverpool,2018-2019,1.9385797182725888,1.5176304268596512,1.938695676288384,1.7330456209778098,1.841235652485144,1.425538563484121,0.6521607366150569,0.12520705599890788,-1.805509092008757,-0.7187664507835319,1.2283769834719918,1.8263099233771802,1.9600301879911852,-0.6150031370074228,1.658977389331341,-0.6100219265944574,2043.74633789
b8fd03ef,Manchester City,2018-2019,2.2212360906696085,2.733626069549229,2.4756441926981103,2.551522359475893,2.9088107487264434,3.010355037131854,-0.7995516542926753,-0.8142616882355083,-1.65366830311155,-1.1296288588598147,4.187582137868537,3.1746884419591743,2.684899728475327,-1.1323066237767396,1.399631076420689,0.2028826313978995,2041.26416016
19538871,Manchester Utd,2018-2019,0.7514229542051163,0.37763451183817137,0.5664939121301945,0.7833037451734287,0.48400839834891796,0.3959125742352763,1.3780169320689228,1.6909882963896026,0.01658037475773252,0.10295836536903384,0.874284059014285,0.7373581506506288,0.7052386769826621,0.37641335399043596,0.40406908081971793,0.7626637544939346,1842.21777344
