meta_data_team_id,meta_data_team_name,stats_stats_avg_gls,stats_stats_avg_ast,stats_stats_avg_non_pen_gls,stats_stats_avg_xg,stats_stats_avg_non_pen_xg,stats_stats_avg_xag,stats_stats_avg_pk_made,stats_stats_avg_pk_att,stats_stats_avg_yellow_cards,stats_stats_avg_red_cards,stats_stats_avg_carries_prog,stats_stats_avg_passes_prog,season_id,pca_features_pca_1,pca_features_pca_2,pca_features_pca_3,pca_features_pca_4,Elo
18bb7c10,Arsenal,1.8157894736842104,1.368421052631579,1.7105263157894737,1.5815789473684212,1.4736842105263157,1.2289473684210528,0.1052631578947368,0.131578947368421,1.947368421052632,0.0526315789473684,22.84210526315789,49.31578947368421,2018-2019,6.204521650096437,1.2095768106050258,-1.2241970722980926,1.2862042306007149,1870.87512207
4ba7cbea,Bournemouth,1.4473684210526316,1.131578947368421,1.263157894736842,1.4026315789473685,1.2157894736842103,1.0210526315789472,0.1842105263157894,0.2368421052631578,1.5789473684210529,0.0263157894736842,19.42105263157895,37.76315789473684,2018-2019,-0.0238388514267866,1.4510831125652572,-0.9400227683556344,-0.6405074036139238,1694.88586426
d07537b9,Brighton,0.9210526315789472,0.631578947368421,0.7894736842105263,0.9289473684210524,0.8078947368421052,0.6447368421052632,0.131578947368421,0.1578947368421052,1.631578947368421,0.1052631578947368,12.5,30.26315789473684,2018-2019,-5.58924105673889,5.564951627911018,1.9000977203145384,0.6939258896547733,1620.25097656
943e8050,Burnley,1.131578947368421,0.8421052631578947,1.0789473684210529,1.1684210526315788,1.1263157894736842,0.8210526315789474,0.0526315789473684,0.0526315789473684,1.973684210526316,0.0263157894736842,11.078947368421051,27.157894736842103,2018-2019,-6.760350042968953,5.115503350901223,4.447057559206924,-2.897844014201901,1685.65490723
75fae011,Cardiff City,0.868421052631579,0.5263157894736842,0.7894736842105263,1.1157894736842104,1.0315789473684212,0.7263157894736842,0.0789473684210526,0.1052631578947368,1.736842105263158,0.0263157894736842,11.421052631578949,24.157894736842103,2018-2019,-9.933370221279018,6.163152274412042,4.48395639601666,-3.0387339197323127,
cff3d9bb,Chelsea,1.605263157894737,1.368421052631579,1.4736842105263157,1.5421052631578949,1.436842105263158,1.181578947368421,0.131578947368421,0.131578947368421,1.2894736842105263,0.0,27.84210526315789,56.71052631578947,2018-2019,12.704698019560126,-2.280150124830622,1.882701319026116,0.3897185632910429,1886.99499512
47c64c55,Crystal Palace,1.263157894736842,0.868421052631579,1.0,1.2526315789473683,1.0315789473684212,0.7763157894736842,0.2631578947368421,0.2894736842105263,1.5526315789473684,0.0526315789473684,20.289473684210527,38.36842105263158,2018-2019,-0.4965199933636686,4.143549355824248,2.277927442006228,-2.6367493417082035,1746.52441406
d3fd31cc,Everton,1.394736842105263,0.8947368421052632,1.3421052631578947,1.3078947368421054,1.2026315789473685,0.886842105263158,0.0526315789473684,0.131578947368421,1.5,0.1052631578947368,18.34210526315789,41.60526315789474,2018-2019,2.1276254428483266,3.748552879710779,4.934037168303126,-1.8712705692963183,1773.65405273
fd962109,Fulham,0.868421052631579,0.631578947368421,0.8157894736842105,1.0868421052631578,1.0263157894736843,0.7894736842105263,0.0526315789473684,0.0789473684210526,1.894736842105263,0.0526315789473684,16.526315789473685,39.13157894736842,2018-2019,-1.7436005198621654,6.046243119331521,-0.5843072908447632,1.2843973368561858,1589.33032227
f5922ca5,Huddersfield,0.5526315789473685,0.3421052631578947,0.5263157894736842,0.7578947368421053,0.7368421052631579,0.5236842105263158,0.0263157894736842,0.0263157894736842,1.5,0.1052631578947368,15.81578947368421,32.8421052631579,2018-2019,-5.044842767080243,7.032888453538111,1.691328290878906,-1.109926255060251,1525.95703125
a2d435b3,Leicester City,1.263157894736842,0.8947368421052632,1.131578947368421,1.3789473684210527,1.2447368421052631,0.9894736842105264,0.131578947368421,0.1842105263157894,1.6578947368421053,0.131578947368421,19.789473684210527,40.44736842105263,2018-2019,2.478255045084658,2.877669413729562,3.2287653274613337,0.4053541516816734,1742.6628418
822bd0ba,Liverpool,2.263157894736842,1.4473684210526316,2.0789473684210527,1.9394736842105265,1.8,1.3105263157894735,0.1842105263157894,0.1842105263157894,1.0789473684210529,0.0526315789473684,22.55263157894737,52.8421052631579,2018-2019,13.170828932514802,-3.749858854866968,4.491123240934203,-1.4302667677909502,2043.74633789
b8fd03ef,Manchester City,2.3947368421052637,1.868421052631579,2.3157894736842106,2.218421052631579,2.139473684210526,1.7236842105263157,0.0789473684210526,0.1052631578947368,1.1578947368421053,0.0263157894736842,34.86842105263158,63.92105263157895,2018-2019,18.15710786604342,-6.448912326308529,3.7831793394073134,0.4797109754224132,2041.26416016
19538871,Manchester Utd,1.7105263157894737,1.0526315789473684,1.4736842105263157,1.6157894736842104,1.368421052631579,1.0421052631578949,0.2368421052631578,0.3157894736842105,2.026315789473684,0.1052631578947368,21.07894736842105,43.89473684210526,2018-2019,4.539288872032396,1.4228998643593918,1.0655696866321076,1.7949569974461446,1842.21777344
b2b47a98,Newcastle Utd,1.0789473684210529,0.868421052631579,1.0526315789473684,1.0289473684210526,0.9657894736842106,0.7210526315789473,0.0263157894736842,0.0789473684210526,1.5,0.0526315789473684,12.289473684210526,25.92105263157895,2018-2019,-4.239707048176876,4.381491674334872,3.294191392948484,-2.668643991336919,1719.57849121
