Statistic,Per 90,Percentile,Stat,Value
Passes Attempted,54.13,60.0,,
Pass Completion %,83.5%,43.0,,
Progressive Passes,9.76,98.0,,
Progressive Carries,2.69,93.0,,
Successful Take-Ons,1.29,93.0,,
Touches (Att Pen),4.75,98.0,,
Progressive Passes Rec,5.58,95.0,,
,,,,
Tackles,1.17,5.0,,
Interceptions,0.49,9.0,,
Blocks,0.49,2.0,,
Clearances,0.11,1.0,,
Aerials Won,0.17,2.0,,
,,,Minutes Played,3146.0
Non-Penalty Goals,0.31,64.0,,
npxG: Non-Penalty xG,0.24,50.0,,
Shots Total,3.08,82.0,,
Assists,0.44,98.0,,
xAG: Exp. Assisted Goals,0.35,92.0,,
npxG + xAG,0.58,85.0,,
Shot-Creating Actions,5.31,91.0,,
,,,,
Passes Attempted,39.41,61.0,,
Pass Completion %,74.6%,38.0,,
Progressive Passes,3.49,41.0,,
Progressive Carries,4.99,85.0,,
Successful Take-Ons,1.85,65.0,,
Touches (Att Pen),8.07,97.0,,
Progressive Passes Rec,12.78,96.0,,
,,,,
Tackles,1.76,84.0,,
Interceptions,0.44,54.0,,
Blocks,0.97,65.0,,
Clearances,0.66,60.0,,
Aerials Won,0.47,48.0,,
,,,Minutes Played,2866.0
Non-Penalty Goals,0.34,98.0,,
npxG: Non-Penalty xG,0.18,92.0,,
Shots Total,1.44,76.0,,
Assists,0.04,31.0,,
xAG: Exp. Assisted Goals,0.05,28.0,,
npxG + xAG,0.24,76.0,,
Shot-Creating Actions,2.20,48.0,,
,,,,
Passes Attempted,47.58,42.0,,
Pass Completion %,77.2%,14.0,,
Progressive Passes,5.85,71.0,,
Progressive Carries,0.85,31.0,,
Successful Take-Ons,0.72,60.0,,
Touches (Att Pen),3.18,94.0,,
Progressive Passes Rec,4.49,92.0,,
,,,,
Tackles,3.14,91.0,,
Interceptions,1.02,55.0,,
Blocks,1.23,58.0,,
Clearances,1.57,62.0,,
Aerials Won,4.66,99.0,,
,,,Minutes Played,2124.0
Non-Penalty Goals,0.20,98.0,,
npxG: Non-Penalty xG,0.09,87.0,,
Shots Total,0.91,75.0,,
Assists,0.20,87.0,,
xAG: Exp. Assisted Goals,0.05,18.0,,
npxG + xAG,0.14,48.0,,
Shot-Creating Actions,1.41,16.0,,
,,,,
Passes Attempted,58.51,74.0,,
Pass Completion %,87.5%,94.0,,
Progressive Passes,4.08,65.0,,
Progressive Carries,1.36,19.0,,
Successful Take-Ons,0.76,62.0,,
Touches (Att Pen),1.91,70.0,,
Progressive Passes Rec,2.07,5.0,,
,,,,
Tackles,2.72,86.0,,
Interceptions,1.31,86.0,,
Blocks,1.31,70.0,,
Clearances,2.92,70.0,,
Aerials Won,1.91,97.0,,
,,,Minutes Played,1786.0
Non-Penalty Goals,0.12,90.0,,
npxG: Non-Penalty xG,0.00,1.0,,
Shots Total,0.12,1.0,,
Assists,0.00,8.0,,
xAG: Exp. Assisted Goals,0.01,1.0,,
npxG + xAG,0.02,1.0,,
Shot-Creating Actions,1.36,14.0,,
,,,,
Passes Attempted,53.01,59.0,,
Pass Completion %,91.9%,99.0,,
Progressive Passes,4.93,83.0,,
Progressive Carries,1.60,34.0,,
Successful Take-Ons,1.36,93.0,,
Touches (Att Pen),1.11,37.0,,
Progressive Passes Rec,2.10,5.0,,
,,,,
Tackles,2.59,82.0,,
Interceptions,0.74,30.0,,
Blocks,0.12,1.0,,
Clearances,1.23,5.0,,
Aerials Won,0.37,10.0,,
,,,Minutes Played,730.0
Non-Penalty Goals,0.12,88.0,,
npxG: Non-Penalty xG,0.04,44.0,,
Shots Total,0.54,38.0,,
Assists,0.16,80.0,,
xAG: Exp. Assisted Goals,0.09,46.0,,
npxG + xAG,0.13,40.0,,
Shot-Creating Actions,2.29,62.0,,
,,,,
Passes Attempted,56.14,71.0,,
Pass Completion %,83.1%,77.0,,
Progressive Passes,5.75,90.0,,
Progressive Carries,1.20,12.0,,
Successful Take-Ons,0.16,4.0,,
Touches (Att Pen),1.67,59.0,,
Progressive Passes Rec,3.81,38.0,,
,,,,
Tackles,1.32,12.0,,
Interceptions,1.09,66.0,,
Blocks,1.16,58.0,,
Clearances,2.41,46.0,,
Aerials Won,1.13,74.0,,
,,,Minutes Played,2318.0
Non-Penalty Goals,0.20,17.0,,
npxG: Non-Penalty xG,0.37,49.0,,
Shots Total,2.90,68.0,,
Assists,0.27,90.0,,
xAG: Exp. Assisted Goals,0.18,85.0,,
npxG + xAG,0.55,60.0,,
Shot-Creating Actions,3.10,86.0,,
,,,,
Passes Attempted,30.72,92.0,,
Pass Completion %,77.6%,88.0,,
Progressive Passes,2.22,79.0,,
Progressive Carries,2.29,86.0,,
Successful Take-Ons,1.89,95.0,,
Touches (Att Pen),7.54,97.0,,
Progressive Passes Rec,10.24,97.0,,
,,,,
Tackles,1.68,99.0,,
Interceptions,0.81,99.0,,
Blocks,1.89,99.0,,
Clearances,1.01,76.0,,
Aerials Won,1.21,30.0,,
,,,Minutes Played,1336.0
Non-Penalty Goals,0.00,14.0,,
npxG: Non-Penalty xG,0.00,1.0,,
Shots Total,0.07,1.0,,
Assists,0.07,47.0,,
xAG: Exp. Assisted Goals,0.08,50.0,,
npxG + xAG,0.09,20.0,,
Shot-Creating Actions,2.29,53.0,,
,,,,
Passes Attempted,65.03,83.0,,
Pass Completion %,87.1%,68.0,,
Progressive Passes,6.80,84.0,,
Progressive Carries,1.01,40.0,,
Successful Take-Ons,0.13,3.0,,
Touches (Att Pen),0.81,33.0,,
Progressive Passes Rec,1.14,25.0,,
,,,,
Tackles,2.36,67.0,,
Interceptions,1.01,53.0,,
Blocks,0.67,7.0,,
Clearances,0.54,5.0,,
Aerials Won,0.40,17.0,,
,,,Minutes Played,1337.0
Non-Penalty Goals,0.67,99.0,,
npxG: Non-Penalty xG,0.19,33.0,,
Shots Total,3.37,89.0,,
Assists,0.17,40.0,,
xAG: Exp. Assisted Goals,0.17,38.0,,
npxG + xAG,0.35,30.0,,
Shot-Creating Actions,2.36,4.0,,
,,,,
Passes Attempted,39.94,63.0,,
Pass Completion %,77.6%,63.0,,
Progressive Passes,3.71,46.0,,
Progressive Carries,4.55,75.0,,
Successful Take-Ons,3.71,97.0,,
Touches (Att Pen),4.04,41.0,,
Progressive Passes Rec,9.94,76.0,,
,,,,
Tackles,2.02,93.0,,
Interceptions,0.17,5.0,,
Blocks,1.35,89.0,,
Clearances,0.34,26.0,,
Aerials Won,0.34,35.0,,
,,,Minutes Played,534.0
Non-Penalty Goals,0.25,50.0,,
npxG: Non-Penalty xG,0.26,61.0,,
Shots Total,2.62,66.0,,
Assists,0.25,68.0,,
xAG: Exp. Assisted Goals,0.19,46.0,,
npxG + xAG,0.46,57.0,,
Shot-Creating Actions,3.87,53.0,,
,,,,
Passes Attempted,37.95,55.0,,
Pass Completion %,76.3%,53.0,,
Progressive Passes,3.62,45.0,,
Progressive Carries,4.87,81.0,,
Successful Take-Ons,2.50,84.0,,
Touches (Att Pen),8.11,97.0,,
Progressive Passes Rec,11.98,92.0,,
,,,,
Tackles,1.37,62.0,,
Interceptions,0.37,35.0,,
Blocks,0.75,34.0,,
Clearances,0.50,44.0,,
Aerials Won,0.12,8.0,,
,,,Minutes Played,721.0
Non-Penalty Goals,0.07,74.0,,
npxG: Non-Penalty xG,0.03,35.0,,
Shots Total,0.44,26.0,,
Assists,0.07,48.0,,
xAG: Exp. Assisted Goals,0.07,37.0,,
npxG + xAG,0.10,26.0,,
Shot-Creating Actions,0.74,1.0,,
,,,,
Passes Attempted,50.41,46.0,,
Pass Completion %,84.3%,82.0,,
Progressive Passes,3.78,54.0,,
Progressive Carries,0.22,1.0,,
